chapter,paragraph,sentence,text,tokens,token_count,tokens_str
CHAPTER VII,35,2,She declared her resolution.,"['declared', 'resolution']",2,declared resolution
CHAPTER VII,36,1,"“How can you be so silly,” cried her mother, “as to think of such a thing, in all this dirt!","['silly', 'cried', 'mother', 'think', 'thing', 'dirt']",6,silly cried mother think thing dirt
CHAPTER VII,36,2,You will not be fit to be seen when you get there.”,"['fit', 'seen', 'get']",3,fit seen get
CHAPTER VII,37,1,“I shall be very fit to see Jane--which is all I want.”,"['shall', 'fit', 'see', 'jane', 'want']",5,shall fit see jane want
CHAPTER VII,38,1,"“Is this a hint to me, Lizzy,” said her father, “to send for the horses?”","['hint', 'lizzy', 'said', 'father', 'send', 'horse']",6,hint lizzy said father send horse
CHAPTER VII,39,1,"“No, indeed.",['indeed'],1,indeed
CHAPTER VII,39,2,I do not wish to avoid the walk.,"['wish', 'avoid', 'walk']",3,wish avoid walk
CHAPTER VII,39,3,"The distance is nothing, when one has a motive; only three miles.","['distance', 'nothing', 'one', 'motive', 'three', 'mile']",6,distance nothing one motive three mile
CHAPTER VII,39,4,I shall be back by dinner.”,"['shall', 'back', 'dinner']",3,shall back dinner
CHAPTER VII,40,1,"“I admire the activity of your benevolence,” observed Mary, “but every impulse of feeling should be guided by reason; and, in my opinion, exertion should always be in proportion to what is required.”","['admire', 'activity', 'benevolence', 'observed', 'mary', 'every', 'impulse', 'feeling', 'guided', 'reason', 'opinion', 'exertion', 'always', 'proportion', 'required']",15,admire activity benevolence observed mary every impulse feeling guided reason opinion exertion always proportion required
CHAPTER VII,41,1,"“We will go as far as Meryton with you,” said Catherine and Lydia.","['go', 'far', 'meryton', 'said', 'catherine', 'lydia']",6,go far meryton said catherine lydia
CHAPTER VII,41,2,"Elizabeth accepted their company, and the three young ladies set off together.","['elizabeth', 'accepted', 'company', 'three', 'young', 'lady', 'set', 'together']",8,elizabeth accepted company three young lady set together
CHAPTER VII,42,1,"“If we make haste,” said Lydia, as they walked along, “perhaps we may see something of Captain Carter, before he goes.”","['make', 'haste', 'said', 'lydia', 'walked', 'along', 'perhaps', 'may', 'see', 'something', 'captain', 'carter', 'go']",13,make haste said lydia walked along perhaps may see something captain carter go
CHAPTER VII,43,1,"In Meryton they parted: the two youngest repaired to the lodgings of one of the officers’ wives, and Elizabeth continued her walk alone, crossing field after field at a quick pace, jumping over stiles and springing over puddles, with impatient activity, and finding herself at last within view of the house, with weary ancles, dirty stockings, and a face glowing with the warmth of exercise.","['meryton', 'parted', 'two', 'youngest', 'repaired', 'lodging', 'one', 'officer', 'wife', 'elizabeth', 'continued', 'walk', 'alone', 'crossing', 'field', 'field', 'quick', 'pace', 'jumping', 'stile', 'springing', 'puddle', 'impatient', 'activity', 'finding', 'last', 'within', 'view', 'house', 'weary', 'ancles', 'dirty', 'stocking', 'face', 'glowing', 'warmth', 'exercise']",37,meryton parted two youngest repaired lodging one officer wife elizabeth continued walk alone crossing field field quick pace jumping stile springing puddle impatient activity finding last within view house weary ancles dirty stocking face glowing warmth exercise
CHAPTER VII,44,1,"She was shown into the breakfast parlour, where all but Jane were assembled, and where her appearance created a great deal of surprise.","['shown', 'breakfast', 'parlour', 'jane', 'assembled', 'appearance', 'created', 'great', 'deal', 'surprise']",10,shown breakfast parlour jane assembled appearance created great deal surprise
